paper_id,mark
530F90D6,1
9AABB03A,1
A47BBB0F,1
B4669A99,1
CF8508FE,1
E957C109,1
495BFB67,1
4E7E2970,1
C810442C,1
093538B3,1
0778EF09,1
983E3809,1
18675AFA,1
C045761A,1
EC32CE08,1
628CD7C3,1
7E651748,1
752E23F9,1
82A14ED3,1
815CE4F8,1
7CFD97C9,1
7CEBFBA0,1
79BB255A,1
816B6386,1
822DE5B6,1
602610AC,1
779E7707,1
7529534A,1
76567735,1
7CB4D0C7,1
7B3F6E68,1
7B86F538,1
7B21F243,1
78B09EAD,1
7978AD5F,1
7BC92463,1
7D4C0C43,1
7E4DE78D,1
85A78C6F,1
863EE7FC,1
825B70D6,1
7A5B4879,1
792606EE,1
7933AFB6,1
70E45223,1
7C36A594,1
5FB3BFF1,1
77EB8322,1
FB78709B,1
79FDCEF6,1
7538C843,1
7879FA3A,1
7A79A876,1
78D7391D,2
5A44421C,2
75D9E741,2
7A6946BA,2
75579DD4,2
75578E5F,2
7931815C,2
7C961288,2
7CABC1C1,2
7902471B,2
7633DC81,2
79D5F8AD,2
79AD9B4D,2
78558C86,2
7C11E1A3,2
7A9F66E4,2
793A4F37,2
7A34C4D7,2
7A2DE1B7,2
769C83F2,2
75294E9D,2
76C6AD46,2
7CD94180,2
768C6EAA,2
7CB80C2E,2
75D152AF,2
7AC4F90A,2
7F12608D,2
6169A367,2
783EF66F,2
79D8BE73,2
7C874352,2
7B08B10C,2
7B088B15,2
7B0A59BA,2
7C71B45D,2
7739FD0A,2
08553182,2
77B20FF9,2
79564A12,2
78BF958F,2
76D255D8,2
76D0EB1B,2
76220974,2
7B8AF21D,2
5A74FBBD,2
7F7EAA14,2
7A627138,2
79C57FE1,3
77335124,4
7439EE71,4
7FA664F5,5
7572D62A,5
7A02B003,6
79C37025,6
7CD592C0,7
81AD8C9E,7
831866A1,8
00C0E498,9
5D210123,10
76CFB4B5,11
25B99A89,12
77DAFBB7,13
7A89103F,14
75F933FB,15
826A6EC2,16
26DBE772,17
74942F6E,18
770630D3,19
7B2FB96E,20
824FDC3D,21
8154E09A,22
77D641A0,23
02AD7324,24
75CD706F,25
3E2AB177,26
79380A21,27
75227804,28
7518DE45,29
7BDA7421,30
79115D19,31
7E04124E,32
